Synonym	ID	Precursor m/z	Mass error (ppm)	RT (min)	Formula	Adduct	Tanimoto similarity	InChIKey planar	log2(FC)	P-value	Q-value	Class
Undecanoylcarnitine	1913	330.2635	-1.2	5.2	C18H35NO4	[M + H]+	0.96	FPUYBGZEWPJSDX	0.237348642036631	0.0863556654264692	0.329779174670506	Acyl cholines
paraxanthine	1883	181.0711	-4.9	1	C7H8N4O2	[M + H]+	0.99	QUNWUDVFRNGTCO	-0.662673650651492	0.0863524354136066	0.329779174670506	Xanthines
Noroxycodone	1998	302.138	-2.2	1.5	C17H19NO4	[M + H]+	0.72	RIKMCJUNPCRFMW	-0.703098480723903	0.0858800697425295	0.329779174670506	Phenanthrenes and derivatives
oxitriptan	4726	221.0914	-2.9	1.5	C11H12N2O3	[M + H]+	0.53	LDCYZAJDBXYCGN	0.579614349571041	0.0869250956524489	0.331488901343857	Serotonins
Octadecylisocyanate	4102	296.2957	3.1	8.2	C19H37NO	[M + H]+	0.52	QWDQYHPOSSHSAW	3.46928583653003	0.0873990206971958	0.332025238002785	Isocyanates
Sulfuric acid gonane-3-yl ester	3104	351.162	5.6	4.5	C17H28O4S	[M + Na]+	0.51	ULRQJNITUNNDBO	-0.308854167720198	0.0873942471493844	0.332025238002785	Sulfated steroids
ethyl-4-ethoxybenzoate	100	195.1003	-6.7	5.6	C11H14O3	[M + H]+	0.71	HRAQMGWTPNOILP	-0.122594180043439	0.0881845869092802	0.33361949010181	Benzoic acid esters
(2S,3S)-2-[[2-[[(2S)-2-[[2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S,3R)-2-amino-3-hydroxybutanoyl]amino]propanoyl]amino]-4-carboxybutanoyl]amino]propanoyl]amino]acetyl]amino]-3-carboxypropanoyl]amino]acetyl]amino]-3-methylpentanoic acid	1890	733.3332	-4.3	3.2	C29H48N8O14	[M + H]+	0.61	HXBQFOJCVDDMDS	0.553040595496798	0.0881375600952168	0.33361949010181	Oligopeptides
N-{[(3R)-2,2-dimethyl-5-oxo-2,3,5,9b-tetrahydro[1,3]thiazolo[2,3-a]isoindol-3-yl]carbonyl}-L-leucyl-L-phenylalanine	4219	524.2169	-8.6	3.4	C28H33N3O5S	[M + H]+	0.56	PZFUOFXCIAKGCY	-1.36107801227007	0.0887078275000158	0.334720158829188	Peptides
Thotneoside C	3982	285.0935	-3.4	3.6	C11H18O7	[M + Na]+	0.55	MWPWCTJMDHKRQO	0.797518810405436	0.0894896374991238	0.335187877992471	Fatty acyl glycosides of mono- and disaccharides
(2S)-1-[(2R)-2-[[(2S)-2-amino-3-[[5-hydroxy-4-(hydroxymethyl)-6-methylpyridin-3-yl]methylsulfanyl]propanoyl]amino]propanoyl]pyrrolidine-2-carboxylic acid	4849	463.1629	1.6	3.8	C19H28N4O6S	[M + Na]+	0.56	AVZFBRZDIWWBRR	0.567983446508251	0.0899186379967505	0.335997205711218	Oligopeptides
Metoprolol Acid-d5	1844	268.1538	-2.1	2.1	C14H21NO4	[M + H]+	0.99	PUQIRTNPJRFRCZ	1.58480805924977	0.0933856095864829	0.342288761971762	Phenol ethers
D-(L-A-Aminoadipoyl)-L-Cysteinyl-D-Cyclopropylglycine	3112	384.121	2.7	0.3	C14H23N3O6S	[M + Na]+	0.52	QDTDEZBVMFHOLY	-0.242561899276888	0.0937647843077424	0.343333502379856	Dipeptides
Imidazo[1,2-a]quinoxalin-4-amine	858	185.0807	-7.8	3.1	C10H8N4	[M + H]+	0.7	RIEGODVWDDKNBT	-0.822116690935612	0.0945389830723722	0.344044001611459	Quinoxalines
1-nonadecanoyl-sn-glycero-3-phosphocholine	1583	538.389	4.3	7.6	C27H56NO7P	[M + H]+	0.96	WYIMORDZGCUBAA	-0.207646959118079	0.094532653123805	0.344044001611459	Lysophosphatidylcholines
[(5S)-5-[[(2S)-2-[[(2S)-2-aminopropanoyl]amino]pentanoyl]amino]-6-[[(2S)-3-hydroxy-1-oxo-1-[[(2S)-1-oxopropan-2-yl]amino]propan-2-yl]amino]-6-oxohexyl]-trimethylazanium	7580	523.3262	9.1	7.5	C23H44N6O6	[M + Na]+	0.61	KJFLGSPGSWRIBD	-2.30346575677912	0.0949542927735392	0.344575428602087	Oligopeptides
Glycochenodeoxycholic acid 3-glucuronide	2877	626.353	-0.9	4.4	C32H51NO11	[M + H]+	0.84	ABFZMYIIUREPLL	0.363781435107934	0.0955951523145987	0.345868571916013	Steroid glucuronide conjugates
18-Norisopimara-4(19),7,15-triene	5738	257.2266	0.7	4.8	C19H28	[M + H]+	0.69	BDOVQRGWITVTSL	0.36608509959825	0.0961836967441566	0.347308853491029	Hydrophenanthrenes
isohexadecanoate	3396	257.2473	-0.9	4.9	C16H32O2	[M + H]+	0.5	ZONJATNKKGGVSU	0.36608509959825	0.0961836967441566	0.347308853491029	Long-chain fatty acids
DENDRONOBILOSIDE A	7196	603.2814	6.1	4.6	C27H48O12	[M + K]+	0.54	BZZQPBIRQSCVAL	0.537903707906624	0.0973541760274537	0.349254810949759	Terpene glycosides
[2-(acetyloxymethyl)-3,5-dihydroxy-6-[(2R,3S)-2,3,4-trihydroxybutoxy]oxan-4-yl] hexadecanoate	2127	603.318	6.4	4.5	C28H52O11	[M + K]+	0.52	CWWNTAJWSNBQSW	0.537903707906624	0.0973541760274537	0.349254810949759	Saccharolipids
stearoylcarnitine	1520	428.3741	1.5	7.3	C25H49NO4	[M + H]+	0.95	FNPHNLNTJNMAEE	-0.254949742823178	0.0972099398818111	0.349254810949759	Acyl carnitines
6,6'-Dimethyl-2,2'-bipyridinium	253	223.0639	3	4.8	C12H12N2	[M + K]+	0.57	OHJPGUSXUGHOGE	-0.122571638504966	0.0969330121100864	0.349254810949759	Bipyridines and oligopyridines
11-Oxononadecanoic acid methyl ester	3948	349.2723	2.7	7.1	C20H38O3	[M + Na]+	0.51	UGVCKPVZIXBWCD	0.311995097522231	0.0984112281239757	0.350836509255268	Fatty acid methyl esters
2,2'-Dimethyl-4,4'-bipyridinium	797	223.0632	0.1	6.8	C12H12N2	[M + K]+	0.65	WSTOEGIEWBZMLU	-0.204876937745323	0.0983231328175709	0.350836509255268	Bipyridines and oligopyridines
Esmirtazapine	5258	266.1652	-0.1	2.9	C17H19N3	[M + H]+	0.84	RONZAEMNMFQXRA	-1.11796718626143	0.0991510872762941	0.35209738587794	Piperazinoazepines
Dimethylbilirubin	1923	613.3007	-2.2	6.7	C35H40N4O6	[M + H]+	0.51	UWZUXDQSJUVVTL	0.718806453181253	0.100787224037863	0.355091298602343	Bilirubins
2-amino-N-(2-amino-2-oxo-ethyl)-3-(1H-indol-3-yl)propanamide	1809	261.1321	-9.6	3.9	C13H16N4O2	[M + H]+	0.62	AAERTEZFXPAESI	-0.356973298179914	0.102431061968898	0.357160864978102	Dipeptides
benzoylecgonine	4162	290.1374	-4.4	2.7	C16H19NO4	[M + H]+	1	GVGYEFKIHJTNQZ	-2.46169562215113	0.102209742385512	0.357160864978102	Benzoic acid esters
GELLIUSTEROL C	3763	397.3092	-2.4	5.5	C27H40O2	[M + H]+	0.61	KGLIARATBBHHHP	0.379093000484462	0.102535625344687	0.357160864978102	Cholesterols and derivatives
5'-Carboxy-alpha-chromanol	6595	321.2066	1.7	3.8	C19H28O4	[M + H]+	0.73	QWPNLVBAEZJBMI	0.444756730728807	0.102503948478514	0.357160864978102	Benzopyrans
1-arachidonoyl-GPI	1157	643.2853	-0.1	6.1	C29H49O12P	[M + Na]+	0.9	LXUGKKVCSTYZFK	-0.183774814713054	0.104441175689431	0.360711537919593	Lysophosphatidylinositols
paracetamol-cysteine	1303	293.0556	-3.7	0.5	C11H14N2O4S	[M + Na]+	0.74	LLHICPSCVFRWDT	0.53318059533857	0.105572384386392	0.363005019817145	Alpha amino acids and derivatives
Dilevalol	1834	329.1851	-2.6	3.7	C19H24N2O3	[M + H]+	0.97	SGUAFYQXFOLMHL	-0.271298769738713	0.105706424745217	0.363005019817145	Salicylic acid and derivatives
AAL Toxin TB1	3864	506.3319	-1	6	C25H47NO9	[M + H]+	0.56	CTXQVLLVFBNZKL	-0.283496709437774	0.105944946764746	0.363419275683864	Tricarboxylic acids and derivatives
1-O-Palmitoyl-beta-D-glucopyranose	1102	441.2835	2.8	7	C22H42O7	[M + Na]+	0.55	FPAQFGDNJSALCJ	-0.297038139916744	0.10722027440876	0.364429022151675	Fatty acyl glycosides of mono- and disaccharides
(3S)-5-[(1S,2S,4aS,5S,8aR)-5-(3-carboxypropanoyloxymethyl)-2-hydroxy-2,5,8a-trimethyl-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]-3-methylpentanoic acid	7506	441.2845	-0.3	6.7	C24H40O7	[M + H]+	0.52	ROSBCOKTYCORSH	-0.297038139916744	0.10722027440876	0.364429022151675	Diterpenoids
1-osbondoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine	1009	528.3084	-0.1	6.4	C27H46NO7P	[M + H]+	0.86	GUWNUQBHHWXHBE	-0.225950318141258	0.107400246353227	0.364700836545827	Lysophosphatidylethanolamines
1-(1Z-hexadecenyl)-2-tridecanoyl-glycero-3-phosphoserine	1716	678.4696	-1.3	8.5	C35H68NO9P	[M + H]+	0.65	OXGZETUPCROIDN	-0.213756818016771	0.110499219609598	0.371762595863657	Glycerophosphoserines
1-erucoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine	1398	536.373	3.6	7	C27H54NO7P	[M + H]+	0.71	XHNHVLOJRORARF	-0.159655754580501	0.110895552017166	0.372066309297705	Lysophosphatidylethanolamines
(2S,4aR,4bR,8R,8aR)-2,4b,8-trimethyl-2,3,4,4a,5,6,7,8a,9,10-decahydrophenanthrene-1,8-dicarboxylic acid	5442	359.1591	-8	4.4	C19H28O4	[M + K]+	0.54	FZMONKRUPXQHKO	0.498651366497559	0.112053530530056	0.374323293178441	Steroid acids
(4S)-2-[(S)-[(2R)-2-amino-2-phenylacetamido](carboxylato)methyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxylate	6427	368.126	-4	1.1	C16H21N3O5S	[M + H]+	0.76	KDAWOPKDXRJNHV	-1.26279566220821	0.113321438386069	0.374727276128197	Peptides
N-(hexadecanoyl)-hexadecasphing-4-enine-1-phosphocholine	3111	675.5452	2.3	8.2	C37H75N2O6P	[M + H]+	0.86	RPTUKVYGSPDHGQ	-0.220140490594436	0.113332653021497	0.374727276128197	Phosphocholines
Cresylglucuronide	637	307.079	0.6	2.6	C13H16O7	[M + Na]+	0.73	JPAUCQAJHLSMQW	0.273680783890046	0.114613660076422	0.37554914426205	Phenolic glycosides
arachidonsaure	859	305.2486	3.7	7.8	C20H32O2	[M + H]+	0.98	YZXBAPSDXZZRGB	-0.167770017333886	0.11489887644589	0.37554914426205	Long-chain fatty acids
2-(4-hydroxyphenyl)-3-methylbutanoic acid	4755	217.0845	4.6	3.4	C11H14O3	[M + Na]+	0.54	GDBITPXOESTAML	1.48109863604565	0.115950485273402	0.377226957887688	Phenylpropanes
phenylacetylglutamicacid	3435	266.1025	0.9	2.5	C13H15NO5	[M + H]+	0.86	PTSRBZOZSRJCKX	0.551423066811858	0.116161834027802	0.377475921055709	Alpha amino acids and derivatives
3-amino-4-hydroxybenzaldehyde	1866	138.0538	-8.2	3.8	C7H7NO2	[M + H]+	0.52	LMGGPKYAWHDOLR	0.500321885365925	0.117312947130245	0.377640190478149	Aryl-aldehydes
1-palmitoleoyl-2-acetyl-sn-glycero-3-phosphocholine	3061	536.3354	1.4	5.3	C26H50NO8P	[M + H]+	0.83	QALLXIUHRUVULB	0.293874048808669	0.118224979598029	0.3792141605928	Phosphatidylcholines
6-Hydroxypentadecanedioic acid	7098	289.2003	-2.3	5.4	C15H28O5	[M + H]+	0.61	PNEJUHLZEPRMHF	-0.466194920625561	0.118960348832967	0.380235225410894	Long-chain fatty acids
N-cyclopropyl-1-(4-methoxyphenyl)-9H-beta-carboline-3-carboxamide	4546	380.1334	-9.3	3.3	C22H19N3O2	[M + Na]+	0.55	GWIMPNUXNSZTGC	1.38443642580728	0.119072032688948	0.380258934515405	Harmala alkaloids
5-nitro-2-[(pyridin-3-ylmethyl)amino]benzamide	4865	311.0549	2.5	1.3	C13H12N4O3	[M + K]+	0.52	YGOUPMYBESSSAI	0.66605282623969	0.119774846880267	0.38048119982572	Anthranilamides
N-[(2s,3s)-4-{(4r)-4-[(2,2-Dimethylpropyl)carbamoyl]-5,5-Dimethyl-1,3-Thiazolidin-3-Yl}-3-Hydroxy-4-Oxo-1-Phenylbutan-2-Yl]-N~2~-{(2s)-2-[(Methoxycarbonyl)amino]-2-Phenylacetyl}-3-Methyl-L-Valinamide	5894	712.3712	-3.7	8.3	C37H53N5O7S	[M + H]+	0.6	BNMOFZILPSBXGG	0.228564933526168	0.122657019334542	0.384375020368891	Hybrid peptides
2-[(1S,5R,6R)-6-ethenyl-5-[[(1S,12R,13R,15R,16R)-6-ethyl-12,16-dihydroxy-15-(hydroxymethyl)-2,14-dioxa-5-azanidatetracyclo[10.3.1.01,9.04,8]hexadeca-3,6,8-trien-13-yl]oxy]-2-methoxycarbonylcyclohex-2-en-1-yl]acetic acid	5507	568.2142	-2.1	4.1	C28H35NO10	[M + Na]+	0.5	DSANBNSBHHUGHD	-0.991887171673158	0.124438740729312	0.385580363160408	Fatty acyl glycosides of mono- and disaccharides
N-Palmitoylphosphatidylethanolamine	2510	476.2768	4.2	5.9	C21H44NO7P	[M + Na]+	0.98	YVYMBNSKXOXSKW	-0.251521780992134	0.124960908125746	0.386869636616805	Lysophosphatidylethanolamines
Heptyl nonyl phthalate	47	413.2658	-1.1	9	C24H38O4	[M + Na]+	0.88	SOONNKHXNUDREF	-0.223654051376504	0.127406438555799	0.391120607249998	Benzoic acid esters
amoxicilloyl	4296	382.1419	-3.2	3	C17H23N3O5S	[M + H]+	0.56	BNIOMQSGDOYXMY	-1.37943177790905	0.130209205618218	0.397383240911834	Alpha amino acids and derivatives
3-Hydroxy-5-cholenoylglycine	1254	432.3104	-1.1	4.8	C26H41NO4	[M + H]+	0.78	YVPDWGJLXBNGPX	0.388461675106645	0.131204064983176	0.399416715353625	Glycinated bile acids and derivatives
5-(2-Methylpropyl)-3,6-dioxo-2-piperazinepropanoic acid	1833	243.133	-4	1.5	C11H18N2O4	[M + H]+	0.62	CSRXCVLPMJBQIM	0.445976145822922	0.134583007698237	0.406310598723096	Cyclic carboximidic acids
PHODiA-PC	6853	666.3963	-2.1	6.8	C32H60NO11P	[M + H]+	0.84	URBBRAZIPCKXJD	1.25897098982044	0.135776377957315	0.407878960192639	Phosphatidylcholines
N-{2-[(4-methylphenyl)carbamoyl]phenyl}pyridine-3-carboxamide	3960	332.1398	1.2	3.4	C20H17N3O2	[M + H]+	0.5	PLIACWIWRWIRLF	1.33992760464807	0.1387918261712	0.414556748604723	Benzanilides
sulfamethazine	1	279.0908	-1	2.5	C12H14N4O2S	[M + H]+	1	ASWVTGNCAZCNNR	0.345870128092199	0.139072268597927	0.414715096955551	Benzenesulfonamides
Butyrylcarnitine	1087	232.1536	-3.2	0.7	C11H21NO4	[M + H]+	0.86	QWYFHHGCZUCMBN	0.24377189733645	0.139862831438918	0.415859718034565	Fatty acid esters
2-[2-[2-[2-[2-(2-Hydroxyethyloxy)ethoxy]ethoxy]ethoxy]ethoxy]ethanoic Acid	2554	297.1537	-2.3	1.8	C12H24O8	[M + H]+	0.51	SXGGZTBEWZFLBZ	0.43240397074562	0.140246769607246	0.415859718034565	Polyethylene glycols
2-[(1-methyl-9H-pyrido[3,4-b]indole-3-carbonyl)amino]benzoate	3971	346.1188	0.6	3.7	C20H15N3O3	[M + H]+	0.52	JXKKWYPQTJBSEX	-1.3019401197604	0.141414189287506	0.417764099182953	Harmala alkaloids
Monopalmitin	166	331.283	-3.9	7.8	C19H38O4	[M + H]+	1	QHZLMUACJMDIAE	-0.114590702002257	0.143396881960791	0.420392627420421	Monoacylglycerols
N-(N-(N2,N6-Bis((benzyloxy)carbonyl)-L-lysyl)glycyl)glycine	3237	551.2104	-1.5	1.6	C26H32N4O8	[M + Na]+	0.54	FIHSHUVRQWJTPB	0.893512084838168	0.144688950628298	0.422820995946638	Oligopeptides
Triheptanoin	4646	429.3182	-6.7	7.2	C24H44O6	[M + H]+	0.52	PJHKBYALYHRYSK	-0.189640118845327	0.144978860104999	0.42332898543069	Triacylglycerols
N-(2-methylpropyl)dodecanamide	4104	278.2464	3.5	7.7	C16H33NO	[M + Na]+	0.67	KJXSXHGTHSJJMJ	1.28177409563573	0.145302042119412	0.423893537692739	N-acyl amines
Olealdehyde	412	267.2678	-1.7	8.8	C18H34O	[M + H]+	0.55	ZENZJGDPWWLORF	-0.140735546116884	0.147508041757233	0.42665566900332	Fatty aldehydes
Nonanoylcarnitine	1903	302.2312	-4.6	4.3	C16H31NO4	[M + H]+	0.94	MPSPNFAQQQMFLK	0.252539355981805	0.147868130501102	0.427317806606593	Fatty acid esters
1-palmitoleoyl-glycerophosphocholine	1086	516.3061	0.1	6.1	C24H48NO7P	[M + Na]+	1	LFUDDCMNKWEORN	-0.218008074413125	0.148155654088841	0.427587184422409	Lysophosphatidylcholines
linolensaure	2147	279.2307	-4.4	6.5	C18H30O2	[M + H]+	0.62	DTOSIQBPPRVQHS	0.200308681554547	0.151057000144754	0.432025015717993	Lineolic acids and derivatives
Bis-HPPP	1144	377.1957	-0.5	4.3	C21H28O6	[M + H]+	0.98	NISVZEWKUNUGQQ	-0.703902386200079	0.151392369094487	0.432025015717993	Diphenylmethanes
15-keto-PGF1alpha	6767	377.2313	3.9	4.2	C20H34O5	[M + Na]+	0.54	QPXXPLNAYDQELM	-0.703902386200079	0.151392369094487	0.432025015717993	Prostaglandins and related compounds
dysinosin D	908	539.3207	3.5	6.4	C25H42N6O7	[M + H]+	0.51	YUWYJLZMNVWJKP	-0.158516578008597	0.150937255512778	0.432025015717993	Dipeptides
(2S,4R,5S)-5-amino-4-hydroxy-2-isopropyl-7-methyloctanoic acid	5659	254.1743	6.3	4.7	C12H25NO3	[M + Na]+	0.5	MDQDVSMXVRRCRT	-0.769885980689565	0.15380004951418	0.435488183678738	Delta amino acids and derivatives
stearoyl phosphate	1336	365.2449	-0.6	8.6	C18H37O5P	[M + H]+	0.56	MAMGRWPRCADEJL	-0.247213849652898	0.154954139570171	0.437466286697377	Acyl monophosphates
Palmitylcarnitine	1026	400.3432	2.6	6.7	C23H45NO4	[M + H]+	0.96	XOMRRQXKHMYMOC	-0.202476276814289	0.15765104066509	0.440577276096232	Acyl carnitines
(2S,4R)-2-amino-4-hydroxy-5-[[(1R)-1-(4-methoxy-6-oxopyran-2-yl)-3-methylbutyl]amino]-5-oxopentanoic acid	3013	379.1489	3.3	3.1	C16H24N2O7	[M + Na]+	0.54	KPJWCCNQYSXELE	0.266639839181542	0.157927699471747	0.441012496151195	Alpha amino acids and derivatives
N,O-Didesmethylvenlafaxine-glucuronide	4550	426.2113	-2.3	1	C21H31NO8	[M + H]+	0.68	UDNAJOOLWIWCAW	-1.81426750104149	0.161223761731397	0.445779423073846	Phenolic glycosides
methyl (8xi,9xi,14xi,17xi,20xi)-3-oxochol-4-en-24-oate	3921	387.2881	-3.4	5.9	C25H38O3	[M + H]+	0.6	WDIPFMUQXPGENA	0.440156991893201	0.161132366617859	0.445779423073846	Bile acids, alcohols and derivatives
Desacetylcefotaxime	3720	414.0533	-0.9	1.2	C14H15N5O6S2	[M + H]+	0.73	FHYWAOQGXIZAAF	-1.46884785744427	0.161612744655505	0.446516424059567	Cephalosporins
QuetiapineSulfoxide	5729	400.1677	-3.1	3.4	C21H25N3O3S	[M + H]+	0.92	FXJNLPUSSHEDON	-1.29511919929141	0.161816417129805	0.446740706489325	Dibenzothiazepines
1-[(benzyloxy)carbonyl]prolylglycyltryptophan	6591	515.1897	-0.8	3.1	C26H28N4O6	[M + Na]+	0.57	DTTZIOJYDSISDA	-1.49793408032389	0.165912800468325	0.452637891117047	Oligopeptides
Polyoxypropylene oleate	381	341.3046	-1.4	8.4	C21H40O3	[M + H]+	0.63	YWBLIYFXWVRDAA	-0.128402209728477	0.165877349139767	0.452637891117047	Fatty acid esters
1-linoleoylglycerophosphoethanolamine	847	478.292	-1.8	6.2	C23H44NO7P	[M + H]+	1	DBHKHNGBVGWQJE	-0.199002310528244	0.166160655860537	0.452905763769341	Lysophosphatidylethanolamines
1-(1Z-octadecenyl)-2-(9Z,12Z,15Z-octadecatrienoyl)-glycero-3-phosphoethanolamine	2973	748.5288	4.8	8.9	C41H76NO7P	[M + Na]+	0.91	HPHHFTRFOIRIAI	-0.324142651246565	0.167622951221149	0.455462160558036	Glycerophosphoethanolamines
cerotoyl-L-carnitine	3113	540.5007	3.8	9.3	C33H65NO4	[M + H]+	0.66	KOCKWDDTAHPJSX	0.384864178040354	0.16992990162791	0.457819899168786	Acyl carnitines
N-stearoylhexadecasphinganine	239	540.5338	-2.3	9.2	C34H69NO3	[M + H]+	0.74	LNDIPJDWEYOMHO	0.384864178040354	0.16992990162791	0.457819899168786	Long-chain ceramides
6,7-dimethoxy-2-methyl-2,2',3,3',5',6'-hexahydro-1H-spiro[isoquinoline-4,4'-pyran]	4749	300.1586	5.4	2.1	C16H23NO3	[M + Na]+	0.55	MYHQQXHUKJNZQX	-1.05882191345975	0.169604091323997	0.457819899168786	Tetrahydroisoquinolines
6alpha-Glucuronosylhyodeoxycholate	7408	591.3159	3.3	5	C30H48O10	[M + Na]+	0.51	MAXKTGFGXCXJFY	0.327585979345468	0.171332767378438	0.460125627856526	Steroid glucuronide conjugates
hexadecaphytosphingosine	188	290.2672	-6.3	5.3	C16H35NO3	[M + H]+	0.56	OCHZTELGZBWSJD	-0.0706410854155476	0.174157246518105	0.464788845911897	Alkanolamines
1,2,14-Triacetoxy-8,9-dibenzoyloxy-4,6-dihydroxydihydro-alphaagarofuran	5440	669.2519	-3.4	5.6	C35H40O13	[M + H]+	0.55	ZIWDLLSIYLUZFI	0.435676222741675	0.173951173994797	0.464788845911897	Pentacarboxylic acids and derivatives
1-adrenoyl-2-hydroxy-sn-glycero-3-phosphoethanolamine	1101	530.3226	-2.8	6.7	C27H48NO7P	[M + H]+	0.74	NJHKGJJIKOCCMZ	-0.17834115833921	0.175473538933361	0.466731851297252	Lysophosphatidylethanolamines
Vanobid	6854	391.245	-1.3	5.5	C21H36O5	[M + Na]+	0.51	DLJKPYFALUEJCK	0.364348948757756	0.176601093079523	0.468353818998565	Prostaglandins and related compounds
(2S)-1-[(2S)-1-[(2S)-1-(2-aminoacetyl)pyrrolidine-2-carbonyl]pyrrolidine-2-carbonyl]-N-[(2S)-1-amino-3-(4-hydroxyphenyl)-1-oxopropan-2-yl]pyrrolidine-2-carboxamide	1452	529.2761	-1.6	2.7	C26H36N6O6	[M + H]+	0.59	CTOJADDHRIZZMM	-0.356466471674857	0.178984272392222	0.469270770247615	Oligopeptides
Alpha-Linoleoylcholine	1300	366.3361	-1.5	6.7	C23H43NO2	[M + H]+	0.57	FDCFEKFQGUEBOI	-0.382353506471315	0.179465339224432	0.469651932706557	Acyl cholines
7alpha-Thiomethylspironolactone	5630	389.2151	1.6	5.6	C23H32O3S	[M + H]+	0.99	FWRDLPQBEOKIRE	-0.320788594475586	0.180072735495238	0.469760562482928	Spironolactones and derivatives
methyl (10E,12Z,14Z,16R)-16-hydroxy-9-oxooctadeca-10,12,14-trienoate	4655	361.1744	-8.9	4.6	C19H30O4	[M + K]+	0.52	QHRXFYSBCPHVSL	0.417051914288036	0.17990861247679	0.469760562482928	Lineolic acids and derivatives
1,2-Diisopropenylcyclobutane #	4416	159.1162	11.2	4.7	C10H16	[M + Na]+	0.53	RQGIFUXHHWOXNT	-0.594085256578115	0.180467695640815	0.47045438599146	Branched unsaturated hydrocarbons
Tauroursocholate	3071	516.2984	-1.1	4.1	C26H45NO7S	[M + H]+	0.96	WBWWGRHZICKQGZ	0.480229937418744	0.181587761348405	0.471814774000479	Trihydroxy bile acids, alcohols and derivatives
Mycophenolic Acid beta-D-Glucuronide	6680	497.165	-0.8	3.8	C23H28O12	[M + H]+	0.9	BYFGTSAYQQIUCN	-1.2759967542198	0.184106641809432	0.475521899914305	Phenolic glycosides
Pregabalin	6260	160.1316	-10.1	1	C8H17NO2	[M + H]+	0.69	AYXYPKUFHZROOJ	-2.87303035663412	0.187701112344654	0.482754553399827	Gamma amino acids and derivatives
Torasemide	3008	349.1314	-4.2	3.9	C16H20N4O3S	[M + H]+	0.94	NGBFQHCMQULJNZ	-0.249460931595862	0.189286625129593	0.484440927612368	Pyridinesulfonamides
mupirocin W5	2275	459.2954	0.2	6.2	C24H42O8	[M + H]+	0.54	CXUZALJPVJUKFQ	0.306839086576881	0.193070532836293	0.492741940695565	Long-chain fatty alcohols
Atractyloside D	3908	601.2677	9.3	4.9	C27H46O12	[M + K]+	0.56	UPFPPGMSXLZFBF	-0.314357392292403	0.193808772091149	0.493589798754485	Terpene glycosides
ondansetron	3726	294.1591	-3.2	3.4	C18H19N3O	[M + H]+	0.91	FELGMEQIXOGIFQ	-0.849720955144178	0.194197688765734	0.494235150682925	Carbazoles
(2S,3S,4S,5R,6R)-6-[[(1R,3aS,4S,6S,8aR)-1,6-dihydroxy-1,4-dipropyl-2,3,3a,5,6,8a-hexahydroazulen-4-yl]peroxy]-2-(hydroxymethyl)-2-methyloxane-3,4,5-triol	7453	461.2733	-2.6	5.2	C23H40O9	[M + H]+	0.51	KFMDLTVQYDBXLH	-1.23750207440437	0.194339410070432	0.494250926448301	Hexoses
[(2S,3R,4S,5S,6R)-2-[(1R,2E,4S,7E)-1,7-dimethyl-4-propan-2-ylcyclodeca-2,7-dien-1-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl] acetate	7416	427.2683	-1.8	5.9	C23H38O7	[M + H]+	0.5	FEPMKPCIGUXEGE	-0.346131054865066	0.195167422140826	0.494810817339073	Germacrane sesquiterpenoids
bilirubin-III alpha	1721	585.2688	-3.4	8.6	C33H36N4O6	[M + H]+	0.87	OQNSGJHDCGJNHV	-0.441448789368842	0.195257681843425	0.494810817339073	Bilirubins
AAL Toxin TC1	6748	490.3382	1.6	6.9	C25H47NO8	[M + H]+	0.55	YZFDWMLFJPNPJS	-0.238148215594394	0.198253239955651	0.498641080081558	Tricarboxylic acids and derivatives
Clupanodonate	3253	331.2653	6.5	7.9	C22H34O2	[M + H]+	0.92	YUFFSWGQGVEMMI	-0.168110318582668	0.198486546397588	0.49888382819573	Very long-chain fatty acids
Isovalerylcarnitine	1453	246.17	0	1.6	C12H23NO4	[M + H]+	0.72	IGQBPDJNUXPEMT	0.220978264914903	0.199844559767126	0.50126073553694	Fatty acid esters
Dihydro Mupirocin	7413	503.3214	-0.3	6.2	C26H46O9	[M + H]+	0.62	BLLCNILVBRPJAH	-0.412753169619669	0.200496743384473	0.50220578511207	Medium-chain fatty acids
Anaprox	3090	231.1006	-4.3	5	C14H14O3	[M + H]+	0.85	CMWTZPSULFXXJA	-1.07035293848718	0.201751825762341	0.503842792541878	Naphthalenes
1-arachidonoyl-sn-glycero-3-phospho-L-serine	1207	546.2818	-1.6	6.2	C26H44NO9P	[M + H]+	0.89	XHWSRRGLFMDBOB	-0.219163436354849	0.202396603239456	0.504884002745756	Lysophosphatidylserines
l-lyxo-4-hexulose	7226	203.0519	-3.6	0.5	C6H12O6	[M + Na]+	0.56	DWJZKGYQNOQQEZ	-0.173332794353186	0.205112693884074	0.507642235321089	Monosaccharides
