Synonym	ID	Precursor m/z	Mass error (ppm)	RT (min)	Formula	Adduct	Tanimoto similarity	InChIKey planar	log2(FC)	P-value	Q-value	Class
(2R,3R,4R,5S,6S)-3,4-dihydroxy-6-[(2S,3S,4R,5S,6S)-2,3,5-trihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-5-[(2R,3S,4R,5R,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxane-2-carboxylic acid	2209	517.1395	-2.9	0.9	C18H30O17	[M - H]-	0.85	SHNIAUOFCSLFGS	-1.42946375592469	0.00394533059069005	0.0301929008705924	Oligosaccharides
Nonanedioic acid, bis(2-hydroxyethyl) ester	1300	275.1495	-1.8	18.6	C13H24O6	[M - H]-	0.57	RLLLKKWXYJLXOU	-0.856478593196253	0.00409134153210033	0.030852543307856	Fatty acid esters
9-hydroperoxylinolenic acid	428	309.2068	-1.2	23.4	C18H30O4	[M - H]-	0.68	QVUYXFFTZMKSBG	-1.3882741844721	0.00411800954820203	0.0308731006535263	Lineolic acids and derivatives
Fulgidic acid	498	327.2173	-1.4	20.8	C18H32O5	[M - H]-	0.69	MKYUCBXUUSZMQB	-0.867979352134399	0.00415209786631851	0.0310384359340157	Lineolic acids and derivatives
2-hydroxy-3-(2-methylidenecyclopropyl)butanedioic acid	1674	185.0446	-5	2.6	C8H10O5	[M - H]-	0.5	HEWAJTLQEJUAGF	1.28526783245671	0.00424721126960089	0.0315558731564521	Carbocyclic fatty acids
(1S,7R)-7-hydroxy-7-methyl-1-[(2S,5R)-3,4,5-trihydroxy-6-[[(E)-3-phenylprop-2-enoyl]oxymethyl]tetrahydropyran-2-yl]oxy-4a,5,6,7a-tetrahydro-1H-cyclopenta[c]pyran-4-carboxylic acid	637	505.1711	-0.9	19.1	C25H30O11	[M - H]-	0.56	YXCPQONSMLKCHP	-0.582629827660648	0.00463537043314026	0.0335803942333392	Iridoid O-glycosides
Scandoside	285	389.1088	-0.5	2.9	C16H22O11	[M - H]-	0.79	ZVXWFPTVHBWJOU	-0.71074653185749	0.00466088816762422	0.0336706739056103	Iridoid O-glycosides
1-O-methylnyasicoside	1086	491.155	-1.8	17.3	C24H28O11	[M - H]-	0.61	PFEGVXNNPUKZKH	-0.663372077754242	0.00467415670808839	0.0336722071233519	Fatty acyl glycosides of mono- and disaccharides
2,3-dihydroxyoctanoic acid	797	175.0964	-6.8	6.4	C8H16O4	[M - H]-	0.65	HSOWPFQKRRJHNS	-0.748921201321307	0.00468863004031161	0.0336823868355533	Sugar acids and derivatives
Gallicynoic Acid B	2021	267.1598	-1.4	20.8	C15H24O4	[M - H]-	0.5	USYGFJALDRCDGW	-0.663524959630408	0.00490229895460589	0.0349254944859906	Long-chain fatty acids
(9S,10S,11E,13R,15Z)-9,10,13-Trihydroxy-11,15-octadecadienoic acid	317	327.2172	-1.5	21.2	C18H32O5	[M - H]-	0.77	ADHVWICOFLYDST	-0.531750557249305	0.00496275450553392	0.0352041067362889	Lineolic acids and derivatives
4,7-Anhydro-3-Deoxy-D-Manno-Oct-2-Ulosonic Acid	2111	219.0501	-4.1	1.1	C8H12O7	[M - H]-	0.53	HVHHMEMCULPBED	-0.740496258669111	0.00496870680574221	0.0352041067362889	C-glycosyl compounds
15-Keto-PGE0	1657	353.2328	-1.5	21.3	C20H34O5	[M - H]-	0.56	CDUVSQMTLOYKTR	2.24703245591125	0.00522482790621232	0.0366163890492434	Prostaglandins and related compounds
Wikstrone	724	403.1393	-1.4	18.2	C21H24O8	[M - H]-	0.51	FCUUNRWODYPBEE	-1.99490669882278	0.00530094179328808	0.0369489969861891	Tetrahydrofuran lignans
mannosylglycerate	682	267.0716	-2.3	1.1	C9H16O9	[M - H]-	0.74	DDXCFDOPXBPUJC	-0.615095511978321	0.00540307734779657	0.0373739857981577	Fatty acyl glycosides of mono- and disaccharides
alpha-hydroxy-glutarate	841	147.0288	-7.6	1.6	C5H8O5	[M - H]-	0.69	HWXBTNAVRSUOJR	0.532316668713826	0.00556078715199582	0.037939867896818	Short-chain hydroxy acids and derivatives
methyl (1S,4aS,5R,7aS)-5,7-bis(hydroxymethyl)-1-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylate	572	417.1398	-1	9.9	C18H26O11	[M - H]-	0.61	PTPQTMGOUIHFNR	-0.594521766786114	0.0055537943964944	0.037939867896818	Iridoid O-glycosides
methyl 2,4-dihydroxy-5-methylbenzoate	1036	181.0497	-5.3	8.1	C9H10O4	[M - H]-	0.5	ADAYLBXFCVGNKY	0.691745669318391	0.00599133629817789	0.03992676049871	p-Hydroxybenzoic acid esters
Randioside	384	371.098	-1.1	8	C16H20O10	[M - H]-	0.7	IKFVJCMZZBWMML	0.547746395114003	0.00632955180789025	0.0419637894924138	O-glycosyl compounds
[(2R,3S,4S,5R,6S)-3,4,5-trihydroxy-6-octanoyloxyoxan-2-yl]methyl octanoate	1219	431.2645	-1.3	21.6	C22H40O8	[M - H]-	0.53	BFYRWTXDFKEXDD	-0.944031238697973	0.00643338471777935	0.0424340132663758	Saccharolipids
Brassylate	982	243.1596	-2.3	22.6	C13H24O4	[M - H]-	0.81	DXNCZXXFRKPEPY	-1.09554443652603	0.00645346208867543	0.0424578538946274	Long-chain fatty acids
(9Z,15Z)-12,13-dihydroxyoctadeca-9,15-dienoate	264	311.2224	-1.3	22.2	C18H32O4	[M - H]-	0.64	RGRKFKRAFZJQMS	-0.646863728095435	0.00652365670183915	0.0425936978077042	Lineolic acids and derivatives
methyl 3-(4-hydroxy-2-methoxyphenyl)prop-2-enoate	557	207.0654	-4.5	12.4	C11H12O4	[M - H]-	0.5	PWVAUDNAZBCJOG	-0.762712366912842	0.00658430863919399	0.0427044264764345	Hydroxycinnamic acids and derivatives
10-Hydroxyligustroside	895	539.1762	-1.5	12.4	C25H32O13	[M - H]-	0.61	AHTRGGWSBFOEEG	-0.596544292955634	0.0070173757742636	0.0449077223866646	Terpene glycosides
Benz-Me-galp-Ac-glup	519	486.1975	-1.2	14.7	C22H33NO11	[M - H]-	0.5	QRWGFRUDUVXHOQ	-0.55986985097309	0.00721719244305662	0.0459583686682544	N-acyl-alpha-hexosamines
(3R,4S,5R)-4-Hydroxymethyl-5-(4-hydroxy-3,5-dimethoxyphenyl)-3-[(R)-(beta-D-glucopyranosyloxy)(4-hydroxy-3-methoxyphenyl)methyl]tetrahydrofuran	1621	567.2073	-1.8	15.4	C27H36O13	[M - H]-	0.54	LTFQGPBDLOLKNW	-0.562581091979255	0.00768623854885783	0.0485853167095695	Lignan glycosides
5-hydroxy-2-methoxybenzaldehyde	1048	151.0388	-8.1	12.4	C8H8O3	[M - H]-	0.69	HWNIBJPEJAWOTR	0.662968070108654	0.00831450872899349	0.0512993253877373	Methoxyphenols
Strychoside A	270	743.2394	-1.4	12.1	C33H44O19	[M - H]-	0.51	CQRSHECOOIXIBJ	-0.502975721623106	0.00851795357378466	0.0521629496801621	Terpene glycosides
Decumbic acid	1084	183.0654	-4.8	5	C9H12O4	[M - H]-	0.5	GMDXRLRSQUTZAT	-2.54760001758568	0.00860884442548306	0.0523637022955679	Butenolides
Glucosyringicacid	948	359.0982	-0.6	8.1	C15H20O10	[M - H]-	0.68	BLKMDORKRDACEI	0.535401137098975	0.00880093098781837	0.0530317780784663	Hydrolyzable tannins
9,14-dihydroxyoctadecanoic acid	136	315.2536	-1.6	23.2	C18H36O4	[M - H]-	0.66	UHSVJNCEYVVOCB	-0.623702365610537	0.00897737492367003	0.0538433719259186	Long-chain fatty acids
2-methylidenedecanedioate	838	213.1124	-3.8	20.1	C11H18O4	[M - H]-	0.64	NXWBVVHGBYZNPB	-0.628733044525005	0.00913651464373933	0.0544181784438885	Medium-chain fatty acids
6-Hydroxypiperitol	878	371.1131	-1.4	18.7	C20H20O7	[M - H]-	0.5	OBBPXKPMHFTNDB	-0.673509434757989	0.00924169097407408	0.0549177903735877	Furanoid lignans
3-ethyl-4-oxocyclohexane-1-carboxylic acid	1787	169.0859	-6.6	17.5	C9H14O3	[M - H]-	0.5	XWFREUXCTOSAMT	-1.08992586595067	0.0093773201054807	0.0554681388808136	Cyclic ketones
Saccharumoside C	1362	461.1295	-1.3	6.4	C19H26O13	[M - H]-	0.66	NIVUGFISTDXAKA	0.450506117782023	0.00941701373710364	0.0555754655102752	Phenolic glycosides
[(3S,4S,6R)-3,4,5-trihydroxy-6-[(2R,3R,5S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]methyl acetate	503	383.1189	-1.5	1	C14H24O12	[M - H]-	0.62	GYATTZBAFLRLML	-0.758564452753068	0.0100073787986447	0.0585238773734799	O-glycosyl compounds
methyl (1S,4aR,7R,7aS)-7-hydroxy-1-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-7-[[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]-4a,7a-dihydro-1H-cyclopenta[c]pyran-4-carboxylate	1828	565.1757	-3.1	12.2	C23H34O16	[M - H]-	0.66	FAECUEOLZHNXNB	-0.827467667146729	0.0108986245348294	0.0631494248199661	Iridoid O-glycosides
(2R,3R,4S,5S,6R)-2-[[(2R,3S,4S,5R,6S)-6-[[(1R,3R,4S)-4,10-dihydroxy-9-methoxy-1,3-dimethyl-3,4-dihydro-1H-benzo[g]isochromen-5-yl]oxy]-3,4,5-trihydroxyoxan-2-yl]methoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	348	613.2128	-1.7	14.1	C28H38O15	[M - H]-	0.54	BFSSNGDHPOHKDH	-0.49828136430457	0.0110101027092097	0.0634678799146131	Phenolic glycosides
(9R)-9-hydroxynonadecanedioic acid	1217	343.2484	-1.8	21.8	C19H36O5	[M - H]-	0.59	LLGJFHBASDGYIW	-1.3651633211767	0.0110886387194741	0.0636917578118566	Long-chain fatty acids
gallate	763	169.0133	-5.4	3.2	C7H6O5	[M - H]-	0.57	LNTHITQWFMADLM	-0.508848336183745	0.011213402177678	0.0641099246866875	Gallic acid and derivatives
7-keto palmitic acid	1144	269.2118	-1.5	23.3	C16H30O3	[M - H]-	0.76	BLGIAJAFLPDOCR	-0.833297509409172	0.0117418803234551	0.0665545260531666	Long-chain fatty acids
Angeloside	675	347.1343	-1.4	6.4	C15H24O9	[M - H]-	0.7	PVNCIZYCWIYOJP	-0.617015827211531	0.0119432811371777	0.0671061482631401	Iridoid O-glycosides
Dioxystyrol	591	135.044	-8.5	2.1	C8H8O2	[M - H]-	0.7	PAPAWUGOOGNNAR	-0.784572944204638	0.0120523243183432	0.0675579258518753	Catechols
Octadecanedioate	377	313.238	-1.5	22.7	C18H34O4	[M - H]-	0.71	BNJOQKFENDDGSC	-0.597069094400438	0.0124863929123437	0.0693705543267132	Long-chain fatty acids
cis-3-(1-Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol	1460	183.0653	-5.6	2.7	C9H12O4	[M - H]-	0.51	VVVNXNZZTJUXDV	-1.01529477458261	0.0124990892244853	0.0693705543267132	Polyols
Nonioside M	836	379.1606	-1.1	7.1	C16H28O10	[M - H]-	0.53	ZWNBIKICXYSVLE	-0.497198661368491	0.0125076804040022	0.0693705543267132	Fatty acyl glycosides of mono- and disaccharides
(3R,8R)-3,8-dihydroxynonanoic acid	1242	189.1122	-5.5	16.1	C9H18O4	[M - H]-	0.76	HVFMLKQASOUROH	-1.1378102767184	0.0134547309799426	0.0726051113667527	Medium-chain hydroxy acids and derivatives
(1R,4aS,4bR,7S,8aR,9S,10aR)-7,8a,9-trihydroxy-1,4a,7-trimethyl-2,3,4,4b,5,6,8,9,10,10a-decahydrophenanthrene-1-carboxylic acid	2099	325.2015	-1.6	19.8	C18H30O5	[M - H]-	0.5	KZPSYNKTFFRHJS	-1.01087144447531	0.0134284912390504	0.0726051113667527	Hydrophenanthrenes
(2R,3R,4S,5S,6R)-2-[[(1S,4aS,5R,7S,7aS)-5,7-dihydroxy-4-methyl-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-1-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol	670	347.1343	-1.4	6.8	C15H24O9	[M - H]-	0.7	JYVWJIHACZFWGX	-0.529181389430383	0.0135372767429625	0.0727346598335421	O-glycosyl compounds
Decaloside	1863	345.1185	-1.7	6.9	C15H22O9	[M - H]-	0.72	RPLYFIDPUPZXQC	-1.03363370383376	0.0137529173974208	0.0737396548190193	O-glycosyl compounds
methyl (1R,4aR,5R,7aS)-1,4a,5-trihydroxy-7-methyl-5,7a-dihydro-1H-cyclopenta[c]pyran-4-carboxylate	828	241.0713	-2.1	8.8	C11H14O6	[M - H]-	0.56	VLRPMHXSYJTZAU	-0.600607640634484	0.0150397946636608	0.0796373926113099	Iridoids and derivatives
(9S,10S)-9,10-Dihydroxyoctadecanedioic acid	842	345.2277	-1.7	20.3	C18H34O6	[M - H]-	0.74	NQBSWIGTUPEPIH	-0.699378685308946	0.0153087613489146	0.0805543910418427	Long-chain fatty acids
Luteolin 7-[6-O-(2-methylbutyryl)-beta-glucoside]	645	531.1502	-1.2	18.6	C26H28O12	[M - H]-	0.55	DFKGGJWKZISAJE	-0.444255038480282	0.0158846660029353	0.0825937870932525	Flavonoid O-glycosides
8-[5alpha-[(Z)-2-Pentenyl]-4-oxo-2-cyclopentene-1beta-yl]-6-octyneoic acid	672	287.165	-0.9	21.9	C18H24O3	[M - H]-	0.53	POGJZDRALWXUPR	-2.01314861436118	0.016678865881296	0.0850507184104176	Medium-chain fatty acids
D-Glucopyranosylcation	407	161.0444	-7.2	0.9	C6H10O5	[M - H]-	0.73	UENHGZXMWVWJGF	-1.21504120653416	0.0167569434114009	0.0852202268497637	Monosaccharides
(2R,3R,4S,5S,6R)-2-[(2R,3S,4S,5S)-3,4-dihydroxy-2-(hydroxymethyl)-5-[(2S)-oxiran-2-yl]oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol	1992	353.1082	-2.1	1.1	C13H22O11	[M - H]-	0.57	HNFMWRFMGJKEKV	-0.605235421212007	0.0169056617943689	0.0854896113091713	O-glycosyl compounds
6-hydroxyhexa-2,4-dienoic acid	487	127.0388	-10	8.8	C6H8O3	[M - H]-	0.52	ARNIBUCBGMDXPN	-0.667972594941681	0.0177759533622102	0.089226551055721	Medium-chain fatty acids
Norcaperatic acid	892	387.2384	-1.1	23.2	C20H36O7	[M - H]-	0.54	ABKLOAXZFTXYAG	1.19553254774409	0.0183432130201702	0.0913265374112333	Tricarboxylic acids and derivatives
1-Hydroxy-3-octanone	1232	143.1066	-8.2	17.9	C8H16O2	[M - H]-	0.57	VGFJNJIGFHOBEJ	-0.5187349340738	0.0187218028858905	0.0926747210032852	Fatty alcohols
4-Oxododecanedioicacid	1211	243.1233	-2	18.2	C12H20O5	[M - H]-	0.62	HHXMOTDTSDYYEI	-0.61825154260372	0.0188836969743256	0.0931186510454792	Medium-chain keto acids and derivatives
2-(alpha-L-altropyranosyloxy)benzoic acid	1912	299.0767	-1.8	4.7	C13H16O8	[M - H]-	0.66	TZPBMNKOLMSJPF	-0.758874906123715	0.0190674685386087	0.0935570485237382	Phenolic glycosides
glycerate	471	105.0179	-13.6	1.1	C3H6O4	[M - H]-	0.9	RBNPOMFGQQGHHO	-0.514073379374545	0.0193674647772209	0.0944926991641444	Sugar acids and derivatives
Galactofuranose	1337	179.0552	-5.1	1.7	C6H12O6	[M - H]-	0.63	AVVWPBAENSWJCB	-0.849656350240062	0.019896977715088	0.0953797500505797	Pentoses
N-[[(1S,4aalpha,7aalpha)-1alpha-(beta-D-Glucopyranosyloxy)-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-yl]carbonyl]-D-phenylalanine	286	520.1816	-1.7	15.8	C25H31NO11	[M - H]-	0.55	BJOGMUBKBDAOFW	-0.40087112629609	0.0199356569987601	0.0953878653057557	Iridoid O-glycosides
8-Nitroguanine	1171	195.0265	-3.5	8.8	C5H4N6O3	[M - H]-	0.59	IYHJRKNFFYAOGE	-0.926465311199554	0.0202418776245313	0.0966737081364191	Hypoxanthines
7,8-H2pterin-6-ylmethyl-l-(4-aminophenyl)-1-deoxy-5-[1-alpha -D- ribofuranosyl 5-phosphate]-D-ribitol	1121	615.1841	3.2	17	C23H33N6O12P	[M - H]-	0.51	OFCCAICXJLPDDB	0.474904374197526	0.02110281476063	0.0996779473766752	Pentoses
Cantleyoside	807	745.2551	-1.4	11.1	C33H46O19	[M - H]-	0.53	GXXXVFMBJGIYPK	-0.423603306384007	0.022544736046061	0.104385770669284	Iridoid O-glycosides
Phloroglucinaldehyde	1703	153.0183	-6.9	4.9	C7H6O4	[M - H]-	0.6	BTQAJGSMXCDDAJ	1.19981105236432	0.0230349096753865	0.105343496097888	Acylphloroglucinols and derivatives
Asperulosidicacid	888	431.1187	-1.9	12.3	C18H24O12	[M - H]-	0.75	DGDWCRWJRNMRKX	0.400089756320408	0.0230043829609385	0.105343496097888	Iridoid O-glycosides
10-methylixoside	1681	401.1084	-1.4	10.3	C17H22O11	[M - H]-	0.7	DKSFGHQZRXXSTP	1.08404190452415	0.0228488456372809	0.105343496097888	Iridoid O-glycosides
Dihydroterrein	1229	155.0702	-7.8	6.8	C8H12O3	[M - H]-	0.57	LFRFNLMDZHTVHB	-0.888646829423652	0.023037507483214	0.105343496097888	Polyols
Vaccinoside	808	535.145	-1.3	13.2	C25H28O13	[M - H]-	0.57	WJPRKOJNQIZCGY	-0.414124828161856	0.0231201310099572	0.105534190928637	Iridoid O-glycosides
5-hydroxymethyl-2-hydroxy-4-methoxyphenylethanone	1436	195.0652	-5.4	15.5	C10H12O4	[M - H]-	0.53	CEXBYIGHXBMJGT	0.613192569929421	0.0233649855161609	0.10642334529278	Aryl ketones
6-Hydroxypentadecanedioic acid	1499	287.186	-1.4	18.4	C15H28O5	[M - H]-	0.54	PNEJUHLZEPRMHF	0.916870972834744	0.023438720483249	0.10642334529278	Long-chain fatty acids
[5-hydroxy-1-[(Z)-2-[3-(2-hydroxyethyl)phenyl]ethenyl]-6-methyl-9,10-dioxo-7-[(2R,3R,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyanthracen-2-yl] acetate	1114	603.1845	-4.5	14.2	C33H32O11	[M - H]-	0.53	OUPSFFCTPZYUKI	-0.404037136790652	0.023744575034714	0.107433787744785	Stilbene glycosides
12b-O-(2,3-Dideoxy-alpha-L-rhamnopyranosyl)aquayamycin	1301	599.2129	-0.9	19.3	C31H36O12	[M - H]-	0.51	KTRHQPOPFOJYBM	-0.593704465493402	0.0238561690438503	0.107749667187548	Anthraquinone glycosides
(S)-Malic acid-1-O-beta-D-glucopyranoside	2208	295.0665	-1.9	1.1	C10H16O10	[M - H]-	0.76	OCIAPZWBJQRATB	-1.19335097112077	0.0242075228925311	0.108572068361702	Fatty acyl glycosides of mono- and disaccharides
8-oxo-9,11-octadecadiynoic acid	839	289.1805	-1.5	19.6	C18H26O3	[M - H]-	0.53	MNEYSZJSCYXZQM	-1.53330479747827	0.0244643799311085	0.1091585395196	Long-chain fatty acids
(2R)-2beta-[3-Methoxy-4-(beta-D-glucopyranosyloxy)phenyl]-5alpha-(3-methoxy-4-hydroxyphenyl)tetrahydrofuran-3alpha,4beta-dimethanol	700	537.1967	-2	13.4	C26H34O12	[M - H]-	0.71	DJRNHAFROSMVLC	-0.421027100055782	0.0253176747335659	0.111233872466553	Lignan glycosides
6-oxoundecanoic Acid	610	199.1331	-4.5	19.9	C11H20O3	[M - H]-	0.69	CFHSTABJNSOHHK	-0.458535806871045	0.025687861964483	0.112243981593706	Medium-chain keto acids and derivatives
(2S,3R,4S,5S,6R)-2-[[(1S,4aS,5R,7aR)-5-hydroxy-7-methyl-4a-[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5,7a-dihydro-1H-cyclopenta[c]pyran-1-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol	875	507.1711	-1.8	6.2	C21H32O14	[M - H]-	0.74	GEKIUWZJPXHAEB	-0.712239796449927	0.0257216724008841	0.112243981593706	Iridoid O-glycosides
5-[(3S,3aR,6S,6aR)-6-(3,5-dihydroxy-4-methoxyphenyl)-1,3,3a,4,6,6a-hexahydrofuro[3,4-c]furan-3-yl]-2-methoxybenzene-1,3-diol	1000	389.1237	-1.3	16.8	C20H22O8	[M - H]-	0.53	RYHHTEJSKIQZAS	-1.24621296664631	0.025689841942186	0.112243981593706	Furanoid lignans
Erythronolide H	1357	415.2333	-1.2	19.3	C21H36O8	[M - H]-	0.61	LYGBWKRVYQFDQX	1.58023029488219	0.0261868435199196	0.113505662920794	Macrolides and analogues
Metacresol	1064	107.0489	-12.2	2.1	C7H8O	[M - H]-	0.87	RLSSMJSEOOYNOY	-1.85371346132956	0.0271472920840403	0.116493953884759	Meta cresols
Oxydisuccinic acid, meso-	476	249.0249	-1.1	1.7	C8H10O9	[M - H]-	0.51	CFPOJWPDQWJEMO	-0.475439116125767	0.0278730997105805	0.11862165701912	Tetracarboxylic acids and derivatives
Virginioside	764	361.1139	-0.5	4.4	C15H22O10	[M - H]-	0.65	QLPYUGJILSEKQD	-0.422185963013376	0.0278471761808095	0.11862165701912	O-glycosyl compounds
4-[6-O-(beta-D-Glucopyranosyl)-beta-D-glucopyranosyloxy]-5'-(beta-D-glucopyranosyloxy)-trans-stilbene-2,3'-diol	902	729.224	-1.1	13.1	C32H42O19	[M - H]-	0.5	PGKWBTWVSPYRKL	-0.431038787756112	0.0284275969519188	0.120188151703276	Stilbene glycosides
omega-hydroxycaprate	746	187.133	-5.2	21.8	C10H20O3	[M - H]-	0.79	YJCJVMMDTBEITC	-0.434473439929389	0.0283467732067994	0.120188151703276	Medium-chain hydroxy acids and derivatives
(2R,3R)-3-hydroxy-2-(9-oxodecyl)pentanedioic acid	1684	301.1652	-1.5	11.8	C15H26O6	[M - H]-	0.56	YKDHGEGTXPHMGO	1.0848406937174	0.0287547439323265	0.12113513420486	Long-chain fatty acids
1-[2,4,6-Trihydroxy-3,5-bis(beta-D-glucopyranosyl)phenyl]-3-phenyl-1-propanone	378	581.1869	-1.2	14.9	C27H34O14	[M - H]-	0.56	OMPFZUXZCIVLSI	-0.388941387420152	0.0297652979644174	0.124214730501994	Chalcones and dihydrochalcones
methyl 5,10,11-trihydroxy-9,9-bis(hydroxymethyl)-2,2,6a,6b,12a-pentamethyl-1,3,4,5,6,6a,7,8,8a,10,11,12,13,14b-tetradecahydropicene-4a-carboxylate	1289	533.3477	-1.4	22.1	C31H50O7	[M - H]-	0.57	HPKJCCRTIBWLDB	-0.789261798562394	0.0305775917434458	0.126783937470011	Triterpenoids
(3S)-3beta,6beta-Dihydroxy-3a,6a-dihydrofuro[3,2-b]furan-2,5(3H,6H)-dione	665	173.0082	-5.4	2	C6H6O6	[M - H]-	0.67	QRFNDAVXJCGLFB	-0.655194156817102	0.0308492122406069	0.12709284084429	Isosorbides
2-[2,6-dihydroxy-4-(3-hydroxyprop-1-enyl)phenoxy]-6-(hydroxymethyl)oxane-3,4,5-triol	1061	343.103	-1.3	7	C15H20O9	[M - H]-	0.6	FAOBAMPQSYZUJH	0.46054584587048	0.0310435144432839	0.127689352072136	Phenolic glycosides
2-O-(6-O-glycero-manno-Heptopyranosyl-glucopyranosyl)glucopyranose	257	533.1713	-1.9	1	C19H34O17	[M - H]-	0.55	PDGFSQZYNQUVRS	-0.415208602823982	0.0313155738425209	0.128603288120798	Oligosaccharides
1-(2,4-dihydroxyphenyl)-3-[4-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyphenyl]propan-1-one	1016	419.1343	-1.1	17.9	C21H24O9	[M - H]-	0.54	PYQAFUNGFKMAKS	-0.506291434012902	0.0317925145275304	0.130147452327779	Flavonoid O-glycosides
protocatechuate	505	153.0182	-7.2	5.7	C7H6O4	[M - H]-	0.65	YQUVCSBJEUQKSH	0.354902304905361	0.0317428416850673	0.130147452327779	Benzoic acids
[3,4,5-trihydroxy-6-[2-hydroxy-2-(2-hydroxy-2-methylpropyl)-4,4,6,6-tetramethyl-3,5-dioxocyclohexyl]oxyoxan-2-yl]methyl 3,4,5-trihydroxybenzoate	811	585.2185	-0.7	12.8	C27H38O14	[M - H]-	0.51	SFGFJHKABNCWLY	-0.862954134003387	0.0334978813225833	0.134775407068553	Terpene glycosides
2,6-Bis(beta-D-glucopyranosyloxy)benzoic acid 2-(beta-D-glucopyranosyloxy)benzyl ester	997	745.219	-0.9	9.4	C32H42O20	[M - H]-	0.53	SQZOCVQMVDBDIF	-0.478211555527665	0.0347071209643988	0.13707452521774	Phenolic glycosides
8-oxohexadecanoic acid	1792	269.2119	-1.3	24.4	C16H30O3	[M - H]-	0.8	SEWAOKNHYLYQEL	-1.47662002906497	0.0350391978600308	0.137753187928383	Long-chain fatty acids
4-Methylcyclohexa-3,5-diene-1,2-cis-diol-1-carboxylic acid	1805	169.0496	-6.1	2.4	C8H10O4	[M - H]-	0.51	KWQSYZVAOWYCNP	-1.32065379568182	0.035986386294808	0.14019469826935	Beta hydroxy acids and derivatives
bhas#20	1125	361.2227	-1.4	16.2	C18H34O7	[M - H]-	0.51	LOQQYUUEPVHUQQ	-0.876175051161049	0.0364067242423308	0.141192393715746	Sugar acids and derivatives
methyl (1R,4aS,6S,7R,7aR)-6-[(2S,3S,4S)-3-ethenyl-4-(2-oxoethyl)-2-[(2S,3S,4S,5S,6S)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4-dihydro-2H-pyran-5-carbonyl]oxy-1-hydroxy-7-methyl-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-4-carboxylate	2530	583.2026	-1.2	10.8	C27H36O14	[M - H]-	0.55	IAXYZHODIUFGKB	-0.991980066595621	0.0366934572160489	0.141790886964846	Terpene glycosides
(2S,4R)-4-[(6-O-beta-D-Glucopyranosyl-beta-D-glucopyranosyl)oxy]-2-pentanol	1033	427.1812	-2	12.4	C17H32O12	[M - H]-	0.61	NFGPYCZFEDGPHD	-0.439338100042451	0.037541357701901	0.144290851733536	Fatty acyl glycosides of mono- and disaccharides
(3aS,4R,6R,6aS)-4,6-bis(4-hydroxy-3-methoxyphenyl)-3,4,6,6a-tetrahydro-1H-furo[3,4-c]furan-3a-ol	521	373.1287	-1.6	17	C20H22O7	[M - H]-	0.52	BQVYHVVERMVPBC	-0.329009162040953	0.0376717890357872	0.144576702266808	Lignan glycosides
[(2S)-2alpha-[3,5-Dimethoxy-4-[[(alphaS,betaS)-alpha-(hydroxymethyl)-beta,4-dihydroxy-3-methoxyphenethyl]oxy]phenyl]-5-(3-hydroxy-1-propenyl)-7-methoxy-2,3-dihydrobenzofuran]-3beta-ylmethyl beta-D-glucopyranoside	716	745.271	-0.5	18.2	C37H46O16	[M - H]-	0.57	WMRGZRXKBZGTEN	-0.675373469774943	0.0396268599670289	0.151179987951136	Phenylpropanoids and polyketides
Dihydroxytoluene	1349	123.0437	-11.8	11.5	C7H8O2	[M - H]-	0.65	PGSWEKYNAOWQDF	0.664479984286321	0.0409709262389975	0.154705737584736	Catechols
